#,Id,Course,Hole,Dialogue String,Character,Trigger,Sequence,Choice,Notes
0,course_2_hole_0_0,2,0,I can't believe you remember this game!,River,Title Screen starts up,,,
1,course_2_hole_0_1,2,0,"Nothing beats real golf, you know?",River,,,,
2,course_2_hole_0_2,2,0,Whatever rich boy!,Phoenix,,,,
3,course_2_hole_0_3,2,0,"Selfish as ever, I see!",Phoenix,Singleplayer select,,,"Unable to select until Course ""3"""
4,course_2_hole_1_4,2,1,"Oh man, I really missed this music!",Phoenix,Course Start,,,
5,course_2_hole_1_5,2,1,"C'mon, whatcha got?",Phoenix,Phoenix starts the game,,,
6,course_2_hole_1_6,2,1,"Alright, I'm comin' for ya!",River,River's ball fires,,,
7,course_2_hole_1_7,2,1,"Patience, my guy!",Phoenix,,,,
8,course_2_hole_1_8,2,1,tis but my middle name.,River,,,,
9,course_2_hole_1_9,2,1,Sheesh!,Winner,Someone wins hole 1,,,
10,course_2_hole_1_10,2,1,I'ma come back so fast you might as well call me Huntr/x,Loser,,,,
11,course_2_hole_1_11,2,1,"Yeah, 'cause your score just keeps going up, up, up.",Winner,,,,
12,course_2_hole_1_12,2,1,Sick ahh burn.,Loser,,,,
13,course_2_hole_1_13,2,1,"Ugh, are you sure you don't secretly play this every day?",Loser,Someone wins hole 2,,,
14,course_2_hole_2_14,2,2,Only every other.,Winner,,,,
15,course_2_hole_2_15,2,2,I knew it!,Loser,,,,
16,course_2_hole_2_16,2,2,Okay we get it! You like golf!,Loser,Someone wins overall,,,
17,course_2_hole_2_17,2,2,Only on Sundays,Winner,,,,
18,course_2_hole_2_18,2,2,Today's Tuesday--,Loser,,,,
19,course_2_hole_2_19,2,2,Because it makes me feel hole-y,Winner,,,,
20,course_2_hole_2_20,2,2,I feel bad for whichever god is stuck listening to your prayers,Loser,,,,
21,course_2_hole_2_21,2,2,"Anyway, want to play again?",Loser,High score recorded,,Player Name Input,
22,course_2_hole_2_22,2,2,"Ugh, I need to study",Winner,,,,
23,course_2_hole_2_23,2,2,But I'll crush you again the next time you come over,Winner,,,,
24,course_2_hole_2_24,2,2,"You mean, the next time I swing by?",Loser,,,,
25,course_2_hole_2_25,2,2,Ugh,Winner,,,,
26,course_2_hole_2_26,2,2,You started it!,Loser,,,,
,,,,[FADE TO BLACK],,,,,
